energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
10.320039999999999,47.2146,2.7679,104.63,2.6104,107.24,0.0,0.1201
11.032119999999999,47.1294,2.4591,86.95700000000001,2.4359,89.39299999999999,0.0,0.1124
11.793339999999999,47.0354,2.1854,72.289,2.2692,74.558,0.0,0.1051
12.60708,46.9353,1.9437,60.144,2.1104,62.254,0.0,0.09834
13.476970000000001,46.8312,1.7304,50.09,1.9597,52.05,0.0,0.092
14.40688,46.7237,1.5411,41.731,1.817,43.548,0.0,0.08606
15.40095,46.6114,1.3695,34.689,1.6824,36.371,0.0,0.0805
16.463620000000002,46.49,1.2159,28.811999999999998,1.5558,30.368000000000002,0.0,0.07531
17.599610000000002,46.3552,1.0755,23.84,1.437,25.276999999999997,0.0,0.07045
18.813979999999997,46.1995,0.9520799999999999,19.741,1.3259,21.066999999999997,0.0,0.0659
20.11215,46.0118,0.8435600000000001,16.362000000000002,1.2222,17.584,0.0,0.06165
21.499879999999997,45.766,0.74808,13.574000000000002,1.1257,14.7,0.0,0.057670000000000006
22.98338,45.3918,0.66401,11.270999999999999,1.0362,12.307,0.0,0.05395
24.569229999999997,44.566,0.5899,9.3665,0.9532799999999999,10.32,0.0,0.050460000000000005
25.00372,44.0222,0.57193,8.9233,0.93255,9.8558,0.0,0.049589999999999995
25.386429999999997,42.7404,0.55683,8.5567,0.91494,9.4716,0.0,0.048839999999999995
25.48849,41.1991,0.55291,8.4624,0.91035,9.3728,0.0,0.048639999999999996
25.64157,42.7653,3.5841,54.528999999999996,0.9035299999999999,55.433,46.2,0.04835
26.024279999999997,44.1811,3.4923,52.35,0.88686,53.236999999999995,44.36,0.047639999999999995
26.2645,44.5838,3.4365,51.042,0.8766799999999999,51.919,43.25,0.04721
28.076759999999997,45.861,3.0917,42.957,0.80608,43.763000000000005,36.55,0.044160000000000005
30.01405,46.4369,2.7803,36.138000000000005,0.7411399999999999,36.879,30.88,0.04131
32.08502,46.7849,2.477,30.116999999999997,0.6815399999999999,30.799,25.8,0.03864
34.29889,46.9986,2.2014,25.038,0.62695,25.665,21.49,0.03615
36.66551,47.1402,1.9609,20.863000000000003,0.57704,21.44,17.94,0.03381
39.19543,47.2353,1.7469,17.386,0.53149,17.917,14.98,0.03163
41.89992,47.2982,1.5564,14.491,0.48999,14.981,12.51,0.029589999999999998
44.79101,47.3384,1.3868,12.079,0.45223,12.530999999999999,10.45,0.02768
47.88159,47.3627,1.2359,10.068999999999999,0.41793,10.487,8.722999999999999,0.025889999999999996
51.18542,47.4096,1.1011,8.3924,0.38681,8.7792,7.281000000000001,0.02422
54.717209999999994,47.412,0.9751700000000001,6.9525,0.35861,7.3111,6.035,0.02266
58.4927,47.4053,0.86367,5.7602,0.33308000000000004,6.0933,5.002,0.0212
62.5287,47.393,0.765,4.7727,0.30998000000000003,5.0827,4.145,0.01983
66.84318,47.3772,0.67765,3.9549,0.28909,4.244,3.4360000000000004,0.01855
71.45536,47.3593,0.60032,3.2774,0.27021,3.5476,2.8480000000000003,0.01735
76.38578000000001,47.3402,0.5318,2.7159,0.25314000000000003,2.969,2.36,0.01623
81.6564,47.321,0.47041000000000005,2.2474,0.23772,2.4851,1.953,0.01518
87.29069,47.301,0.41471,1.8534,0.22376,2.0772,1.6119999999999999,0.0142
93.31374,47.2805,0.36563,1.5286,0.21113,1.7397,1.33,0.01329
99.75239,47.2603,0.32238,1.2608,0.19968,1.4605,1.097,0.01243
106.6353,47.2407,0.28426999999999997,1.0399,0.1893,1.2292,0.9051,0.01163
113.9931,47.222,0.25054,0.85741,0.17986,1.0373,0.7463,0.010879999999999999
121.8587,47.2041,0.2207,0.70652,0.17125,0.87777,0.6149,0.01017
130.2669,47.1872,0.19442,0.58222,0.1634,0.74562,0.5067,0.009518
139.2553,47.1713,0.17128,0.47981,0.1562,0.6360100000000001,0.4175,0.008903
148.864,47.1564,0.1509,0.39543,0.14959,0.54502,0.344,0.008329000000000001
159.1356,47.1426,0.13295,0.32591,0.14349,0.4694,0.2834,0.007790999999999999
170.1159,47.1298,0.11714000000000001,0.26863000000000004,0.13784000000000002,0.40647,0.2335,0.007287999999999999
181.8539,47.118,0.10322,0.22141999999999998,0.1326,0.35402,0.1924,0.006818
194.4018,47.1071,0.090955,0.18252000000000002,0.12771,0.31023,0.1586,0.006378
207.8156,47.0971,0.080152,0.15045999999999998,0.12312999999999999,0.27359,0.1307,0.005966
222.1548,47.088,0.070635,0.12404000000000001,0.11882000000000001,0.24286,0.1077,0.005581
237.4835,47.0796,0.06225,0.10226,0.11475,0.21700999999999998,0.0887,0.005221
253.8699,47.072,0.054863,0.08430599999999999,0.11087999999999999,0.19519,0.07309,0.004884
271.3869,47.065,0.048355,0.069508,0.10720999999999999,0.17672000000000002,0.06022,0.004569
290.1126,47.0587,0.04262,0.057311,0.10369,0.161,0.04962,0.004274
310.1304,47.0529,0.037567,0.047255,0.10032,0.14758,0.040889999999999996,0.003998
331.5294,47.0477,0.033114,0.038965,0.097085,0.13605,0.03369,0.00374
354.4049,47.0429,0.029189999999999997,0.032131,0.09396,0.12609,0.027760000000000003,0.003498
378.8588,47.0386,0.025731999999999998,0.026496,0.090938,0.11742999999999999,0.022869999999999998,0.003273
405.0001,47.0348,0.022684,0.02185,0.088009,0.10985999999999999,0.01885,0.003061
432.9451,47.0313,0.019998,0.018019999999999998,0.08516599999999999,0.10319,0.01553,0.0028640000000000002
