energy_keV,f1_e_atom,f2_e_atom,mu_rho_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
7.902609,56.613,10.546,398.54,4.1677,402.71,0.0,0.1569
8.44789,57.5552,9.5034,335.95,3.9291,339.88,0.0,0.1468
9.030794,58.2224,8.5385,282.36,3.6965,286.06,0.0,0.1373
9.653919,58.6655,7.6226,235.8,3.4708,239.27,0.0,0.1284
10.320039999999999,58.9521,6.8109,197.09,3.2526,200.34,0.0,0.1201
11.032119999999999,59.1366,6.0909,164.88,3.0424,167.92,0.0,0.1124
11.793339999999999,59.2527,5.4519,138.06,2.8406,140.9,0.0,0.1051
12.60708,59.3873,4.8664,115.27,2.6476,117.92,0.0,0.09834
13.476970000000001,59.4424,4.3371,96.105,2.4634,98.568,0.0,0.092
14.40688,59.4585,3.8547,79.904,2.2884,82.19200000000001,0.0,0.08606
15.40095,59.408,3.4263,66.439,2.1225,68.562,0.0,0.0805
16.463620000000002,59.3379,3.0482,55.292,1.9657,57.258,0.0,0.07531
17.599610000000002,59.2553,2.7141,46.053999999999995,1.818,47.872,0.0,0.07045
18.813979999999997,59.1643,2.4183,38.385999999999996,1.6792,40.065,0.0,0.0659
20.11215,59.0678,2.1566,32.023,1.5491,33.571999999999996,0.0,0.06165
21.499879999999997,58.9673,1.9251,26.74,1.4275,28.168000000000003,0.0,0.057670000000000006
22.98338,58.864,1.72,22.349,1.3141,23.663,0.0,0.05395
24.569229999999997,58.7578,1.5382,18.697,1.2087,19.906,0.0,0.050460000000000005
26.2645,58.6484,1.3762,15.648,1.1109,16.759,0.0,0.04721
28.076759999999997,58.5341,1.2199,12.975,1.0203,13.995,0.0,0.044160000000000005
30.01405,58.399,1.0772,10.718,0.93674,11.655,0.0,0.04131
32.08502,58.2361,0.94878,8.831,0.85969,9.6907,0.0,0.03864
34.29889,58.0303,0.83572,7.2766,0.78884,8.0654,0.0,0.03615
36.66551,57.7427,0.7367,6.0004,0.72382,6.7242,0.0,0.03381
39.19543,57.2414,0.64993,4.952,0.66427,5.6163,0.0,0.03163
41.15079,56.2616,0.59345,4.3067,0.6240600000000001,4.9308,0.0,0.03013
41.78065,55.0638,0.5769,4.1235,0.61205,4.7356,0.0,0.02968
41.89992,54.3184,0.57385,4.09,0.60983,4.6998,0.0,0.029589999999999998
41.948609999999995,53.628,0.5726100000000001,4.0765,0.60892,4.6854,0.0,0.029560000000000003
42.20055,55.08,3.3934,24.014,0.60428,24.618000000000002,20.01,0.02938
42.83041,56.3927,3.3149,23.113000000000003,0.59297,23.706,19.27,0.02895
44.79101,57.5729,3.0868,20.58,0.56015,21.14,17.2,0.02768
47.88159,58.2861,2.7683,17.266,0.51489,17.781,14.47,0.025889999999999996
51.18542,58.6719,2.4801,14.47,0.47372,14.944,12.15,0.02422
54.717209999999994,58.9167,2.2208,12.120999999999999,0.43632,12.557,10.2,0.02266
58.4927,59.0794,1.9833,10.126,0.4024,10.527999999999999,8.535,0.0212
62.5287,59.1879,1.7708,8.4571,0.37168,8.8288,7.1370000000000005,0.01983
66.84318,59.2606,1.5808,7.0626,0.34387,7.4065,5.9670000000000005,0.01855
71.45536,59.3083,1.411,5.8973,0.31872,6.216,4.987,0.01735
76.38578000000001,59.3386,1.2594,4.9238,0.296,5.2198,4.167,0.01623
81.6564,59.3582,1.1226,4.1057,0.27548,4.3812,3.478,0.01518
87.29069,59.3943,0.99577,3.4067,0.25695999999999997,3.6637,2.889,0.0142
93.31374,59.3901,0.8819799999999999,2.8227,0.24023000000000003,3.0629,2.396,0.01329
