energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,38.6746,5.2173,1025.3,6.6891,1032.0,0.0,0.5959
2.224304,38.2656,4.7367,870.81,6.6089,877.42,0.0,0.5574
2.377781,37.7071,4.3058,740.49,6.5112,747.0,0.0,0.5214
2.541848,36.909,3.918,630.32,6.3968,636.72,0.0,0.4878
2.717235,35.6223,3.5657,536.61,6.2671,542.88,0.0,0.4563
2.9047240000000003,32.7378,3.2488,457.36,6.1232,463.48,0.0,0.4268
2.943724,31.4079,3.1893,443.04,6.0929,449.13,0.0,0.4212
2.988781,27.8447,3.1231,427.3,6.0577,433.36,0.0,0.4148
3.000796,23.8203,3.1056,423.2,6.0483,429.25,0.0,0.4132
3.0188189999999997,27.6279,10.824000000000002,1466.2,6.0342,1472.2,0.0,0.4107
3.063876,30.7009,10.604000000000001,1415.2,5.9989,1421.2,0.0,0.4047
3.0831779999999998,31.1221,10.512,1394.2,5.9837,1400.2,0.0,0.4021
3.10515,31.2624,10.409,1370.7,5.9665,1376.7,0.0,0.3993
3.13037,30.7066,10.293,1344.6,5.9467,1350.5,0.0,0.3961
3.142954,28.999,10.236,1331.8,5.9368,1337.7,0.0,0.3945
3.1618310000000003,31.2954,13.993,1809.8,5.922,1815.7,0.0,0.3921
3.209022,33.7259,13.690999999999999,1744.7,5.8849,1750.6,0.0,0.3864
3.319406,35.9162,13.008,1602.4,5.7983,1608.2,0.0,0.3735
3.343662,36.1407,12.857000000000001,1572.4,5.7794,1578.2,0.0,0.3708
3.3948410000000004,36.0599,12.545,1511.1,5.7394,1516.8,0.0,0.3652
3.4084879999999997,35.2798,12.463,1495.2,5.7287,1500.9,0.0,0.3638
3.42896,36.4699,14.209000000000001,1694.5,5.7128,1700.2,0.0,0.3616
