energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
8.499456,24.7181,3.7677,317.83,1.8361,319.67,279.2,0.1459
9.030794,26.3786,3.4017,270.07,1.7294,271.8,237.3,0.1373
9.653919,27.1216,3.0709,228.08,1.6167,229.7,201.2,0.1284
10.320039999999999,27.5654,2.7492,191.01,1.5092,192.52,168.9,0.1201
11.032119999999999,27.8453,2.4485,159.13,1.407,160.54,140.9,0.1124
11.793339999999999,28.0311,2.1838,132.76,1.3101,134.07,117.8,0.1051
12.60708,28.1583,1.9478,110.78,1.2186,112.0,98.4,0.09834
13.476970000000001,28.2454,1.7376,92.441,1.1324,93.573,82.23,0.092
14.40688,28.3043,1.5502,77.148,1.0514,78.199,68.71,0.08606
15.40095,28.3432,1.3831,64.391,0.97562,65.367,57.42,0.0805
16.463620000000002,28.3682,1.2341,53.744,0.9048,54.648999999999994,47.98,0.07531
17.599610000000002,28.4192,1.0942,44.57899999999999,0.8388200000000001,45.418,39.82,0.07045
18.813979999999997,28.4194,0.9690200000000001,36.929,0.77752,37.707,32.99,0.0659
20.11215,28.412,0.8582,30.595,0.7206899999999999,31.316,27.34,0.06165
21.499879999999997,28.3996,0.76013,25.349,0.66814,26.017,22.65,0.057670000000000006
22.98338,28.3839,0.67282,20.989,0.61965,21.609,18.77,0.05395
24.569229999999997,28.3663,0.59559,17.381,0.57501,17.956,15.55,0.050460000000000005
26.2645,28.3479,0.52725,14.392999999999999,0.53399,14.927,12.89,0.04721
28.076759999999997,28.329,0.46461,11.865,0.49636,12.360999999999999,10.63,0.044160000000000005
30.01405,28.3086,0.40881,9.7658,0.46192,10.228,8.759,0.04131
32.08502,28.288,0.35972,8.0386,0.43043000000000003,8.469,7.216,0.03864
34.29889,28.2678,0.31655,6.6173,0.4017,7.019,5.945,0.03615
36.66551,28.2484,0.27821,5.4404,0.37551,5.8159,4.891,0.03381
39.19543,28.2295,0.24347,4.4537,0.35166,4.8054,4.004,0.03163
41.89992,28.211,0.21306999999999998,3.646,0.32997,3.976,3.279,0.029589999999999998
44.79101,28.1934,0.18647,2.985,0.31025,3.2952,2.6839999999999997,0.02768
47.88159,28.1768,0.1632,2.4439,0.29234,2.7362,2.198,0.025889999999999996
51.18542,28.1613,0.14284000000000002,2.0009,0.27607,2.277,1.7990000000000002,0.02422
54.717209999999994,28.1468,0.12502,1.6382,0.26128,1.8995,1.473,0.02266
58.4927,28.1334,0.10943,1.3413,0.24785,1.5892,1.206,0.0212
62.5287,28.1211,0.095778,1.0983,0.23563,1.3339,0.9873,0.01983
66.84318,28.1097,0.08383600000000001,0.8992700000000001,0.22451,1.1238,0.8083,0.01855
71.45536,28.0994,0.073385,0.73636,0.21436,0.9507200000000001,0.6618,0.01735
76.38578000000001,28.0899,0.064239,0.6029800000000001,0.2051,0.80808,0.5418,0.01623
81.6564,28.0813,0.056155,0.49308,0.19662000000000002,0.6897,0.4429,0.01518
