energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
181.8539,13.0013,0.0003149,0.0027006,0.12716,0.12986,0.002507,0.006818
194.4018,13.0012,0.00027192,0.0021815000000000003,0.12426,0.12644,0.002025,0.006378
207.8156,13.001,0.00023481,0.0017622,0.12138,0.12314000000000001,0.0016350000000000002,0.005966
222.1548,13.0009,0.00020276,0.0014234000000000002,0.11850999999999999,0.11993,0.0013210000000000001,0.005581
237.4835,13.0008,0.00017508,0.0011497999999999999,0.11565,0.1168,0.001067,0.005221
253.8699,13.0007,0.00015119,0.0009288,0.11281,0.11374000000000001,0.0008616,0.004884
271.3869,13.0006,0.00013055,0.00075026,0.10998,0.11073,0.0006957999999999999,0.004569
290.1126,13.0005,0.00011274,0.00060605,0.10717,0.10778,0.000562,0.004274
310.1304,13.0005,9.735e-05,0.00048956,0.10437,0.10486,0.0004539,0.003998
331.5294,13.0004,8.4064e-05,0.00039546,0.10159,0.10199,0.0003666,0.00374
354.4049,13.0004,7.259100000000001e-05,0.00031945,0.098834,0.09915299999999999,0.000296,0.003498
378.8588,13.0003,6.2685e-05,0.00025805,0.096097,0.096355,0.0002391,0.003273
405.0001,13.0003,5.413e-05,0.00020845,0.09338400000000001,0.093592,0.0001931,0.003061
432.9451,13.0003,4.6743e-05,0.00016838,0.090698,0.090866,0.000156,0.0028640000000000002
